Name	No transfer	Transfer	%change	GDSC Drug
BGJ398	0.4	0.5259259259259259	31.48148148148147	No
BINIMETINIB	0.725390625	0.7089843750000001	-2.2617124394183956	No
BKM120	0.478125	0.478125	0.0	No
BYL719	0.725	0.7291666666666666	0.5747126436781589	No
CGM097	0.8296296296296296	0.8074074074074075	-2.678571428571419	No
DACARBAZINE	0.5833333333333333	0.5666666666666667	-2.8571428571428474	No
HDM201	0.4666666666666667	0.6166666666666667	32.142857142857146	No
LEE011	0.712962962962963	0.6574074074074074	-7.792207792207795	No
ERLOTINIB	0.7037037037037036	0.674074074074074	-4.210526315789465	Yes
GEMCITABINE	0.4476190476190477	0.5319727891156462	18.84498480243157	Yes
PACLITAXEL	0.7653333333333334	0.8026666666666668	4.878048780487804	Yes
TRAMETINIB	0.33333333333333337	0.5851851851851851	75.55555555555551	Yes
