pathway	mean|SHAP|
EXP_REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.012831848825189401
EXP_REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.012676313017474409
EXP_REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.011595634265735354
EXP_REACTOME_SIGNALING_BY_NOTCH	0.010455333830128578
EXP_REACTOME_VISUAL_PHOTOTRANSDUCTION	0.01030218755877933
EXP_REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	0.00831680561908293
EXP_REACTOME_VESICLE_MEDIATED_TRANSPORT	0.008254901402444564
EXP_REACTOME_HIV_LIFE_CYCLE	0.008085465148355847
EXP_REACTOME_INFECTIOUS_DISEASE	0.008076724140722908
EXP_REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	0.00783634186624905
