Name	AUC	AUPRC	Accuracy	Recall	Precision	F1	MCC	Sample size
AFATINIB	0.37692307692307697	0.6278333234334663	0.6105263157894736	0.8153846153846155	0.6833333333333333	0.740218020022247	-0.04726080096481143	19
ANASTROZOLE	0.6480645161290324	0.5442761250116803	0.6392156862745099	0.47000000000000003	0.5567857142857142	0.5065443738470997	0.229725659141173	51
CARMUSTINE			1.0	0.0	0.0	0.0	0.0	1
CISPLATIN	0.3142857142857142	0.6314105320081658	0.53	0.6857142857142857	0.6564102564102563	0.670242656449553	-0.15111651733167847	20
CYCLOPHOSPHAMIDE		1.0	1.0	1.0	1.0	1.0	0.0	2
DABRAFENIB	0.33999999999999997	0.5211796027641364	0.43199999999999994	0.37333333333333335	0.5438034188034189	0.4391787439613527	-0.10531225430805007	25
DASATINIB		1.0	0.0	0.0	0.0	0.0	0.0	1
DOCETAXEL	1.0	1.0	0.5	0.0	0.0	0.0	0.0	2
DOXORUBICIN	0.0	0.5833333333333333	0.5333333333333333	0.8	0.5333333333333333	0.64	-0.2	3
EVEROLIMUS	0.8240384615384617	0.8643360543433423	0.759090909090909	0.823076923076923	0.7894552332546392	0.8002992840316733	0.5067146395481724	88
EXEMESTANE	0.45	0.2893739593739594	0.625	0.25	0.22666666666666666	0.23492063492063492	-0.010226806448965842	16
FLUOROURACIL	0.175	0.27174122174122173	0.5636363636363636	0.06666666666666667	0.05	0.05714285714285715	-0.2196500817170665	11
GEMCITABINE	0.31999999999999995	0.38976623376623376	0.36666666666666664	0.4	0.3047619047619047	0.3454545454545454	-0.25618376894970984	12
IRINOTECAN			0.4	0.0	0.0	0.0	0.0	1
LETROZOLE	0.5286764705882352	0.5472674455859646	0.49696969696969706	0.39999999999999997	0.5060510641808282	0.44250205678673804	-0.002851761095943367	99
PACLITAXEL	0.4000000000000001	0.55	0.4	0.5	0.36666666666666664	0.4133333333333333	-0.21161564094498447	5
RIGOSERTIB			1.0	0.0	0.0	0.0	0.0	1
SORAFENIB	0.8855116514690982	0.7889690756843071	0.8441176470588235	0.7523809523809525	0.7488612836438924	0.7412539483878657	0.6383852455885425	68
TAMOXIFEN	0.7351851851851853	0.5658541606026126	0.7416666666666667	0.26666666666666666	0.5866666666666667	0.344011544011544	0.2414040604524868	24
TEMOZOLOMIDE	0.3166666666666667	0.42952380952380953	0.48571428571428577	0.13333333333333333	0.1	0.1142857142857143	-0.14692185628635462	7
TRASTUZUMAB DERUXTECAN	0.5019841269841271	0.8753698377887004	0.7916666666666667	0.8904761904761905	0.8737247248875155	0.8808126044476741	-0.00701969803718778	48
VEMURAFENIB	0.33333333333333337	0.5628571428571428	0.6	0.76	0.6495238095238095	0.6975757575757575	0.13055182002818105	8
VINCRISTINE		1.0	1.0	1.0	1.0	1.0	0.0	2
VINORELBINE		1.0	1.0	1.0	1.0	1.0	0.0	3
